Time (sec),Cs-137_1 (mR/hr),Cs-137_2 (mR/hr),Cs-137_3 (mR/hr),Ba-133_1 (mR/hr),Ba-133_2 (mR/hr),Ba-133_3 (mR/hr),Co-60_1 (mR/hr),Co-60_2 (mR/hr),Co-60_3 (mR/hr),Eu-152_1 (mR/hr),Eu-152_2 (mR/hr),Eu-152_3 (mR/hr)
0,1.4,1.4,1.55,0.616,0.595,0.557,1.36,1.53,1.65,0.718,0.838,0.815
10,1.27,1.34,1.34,0.608,0.68,0.623,1.57,1.61,1.43,0.741,0.799,0.761
20,1.4,1.39,1.38,0.669,0.604,0.581,1.55,1.47,1.5,0.711,0.823,0.684
30,1.34,1.3,1.38,0.615,0.634,0.677,1.38,1.44,1.36,0.78,0.747,0.824
40,1.27,1.23,1.34,0.673,0.652,0.64,1.39,1.51,1.58,0.744,0.668,0.814
50,1.22,1.36,1.34,0.634,0.602,0.625,1.46,1.41,1.44,0.739,0.7,0.761
60,1.31,1.36,1.19,0.544,0.593,0.683,1.41,1.45,1.48,0.777,0.732,0.698
70,1.33,1.16,1.55,0.556,0.582,0.545,1.47,1.38,1.42,0.738,0.735,0.751
80,1.34,1.26,1.24,0.617,0.555,0.624,1.3,1.5,1.44,0.716,0.78,0.755
90,1.46,1.22,1.38,0.628,0.624,0.639,1.45,1.39,1.66,0.801,0.871,0.772
100,1.15,1.37,1.27,0.581,0.645,0.638,1.53,1.54,1.6,0.76,0.773,0.772
110,1.29,1.38,1.38,0.608,0.634,0.598,1.63,1.53,1.94,0.728,0.792,0.733
120,1.21,1.37,1.32,0.578,0.579,0.651,1.48,1.41,1.57,0.753,0.717,0.741
130,1.3,1.3,1.33,0.638,0.655,0.629,1.6,1.5,1.41,0.839,0.734,0.779
140,1.25,1.55,1.27,0.566,0.611,0.632,1.39,1.4,1.53,0.773,0.802,0.7
150,1.39,1.42,1.42,0.657,0.68,0.595,1.45,1.47,1.39,0.819,0.69,0.732
160,1.31,1.24,1.36,0.544,0.562,0.561,1.41,1.32,1.6,0.712,0.775,0.747
170,1.2,1.25,1.4,0.612,0.564,0.635,1.45,1.52,1.59,0.71,0.809,0.72
180,1.4,1.55,1.3,0.595,0.557,0.627,1.53,1.82,1.42,0.838,0.815,0.702
