time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 16:20:25 2026,29.415156250000003,16839,100,703.9709521027954,2968.190806379079,0,1,1,0,1,1,96,32,10,4,0,0
Wed Feb 18 16:20:26 2026,39.98,10617,20.03977757843473,1008.2476770733662,41.731248863180575,0,1,1,0,1,1,96,32,10,4,0,0
Wed Feb 18 16:20:27 2026,40.0180859375,15952,19.946310022971492,1008.2435117608889,41.76606724437357,0,1,1,0,1,1,114,38,10,4,0,0
Wed Feb 18 16:20:28 2026,40.05890625,20377,19.821091370402463,1008.2348558014965,41.838423891567004,0,1,1,0,1,1,114,38,10,4,0,0
Wed Feb 18 16:20:29 2026,40.1153515625,25337,19.73428703927752,1008.228364685183,41.89268457467971,0,1,1,0,1,1,114,38,10,4,0,0
Wed Feb 18 16:20:30 2026,40.1751171875,29159,19.647734838488308,1008.230821875398,41.87214434259394,0,1,1,0,1,1,102,34,8,2,0,0
Wed Feb 18 16:20:31 2026,40.231953125,32691,19.566339836587442,1008.2302902626875,41.876588215087054,0,1,1,0,1,1,102,34,8,2,0,0
Wed Feb 18 16:20:32 2026,40.2743359375,35811,19.51061462639624,1008.229485199256,41.88331792844898,0,1,1,0,1,1,102,34,8,2,0,0
Wed Feb 18 16:20:33 2026,40.3137890625,38930,19.45470730523499,1008.2274855693365,41.90003332106291,0,1,1,0,1,1,102,34,8,2,0,0
Wed Feb 18 16:20:34 2026,40.353046875,41601,19.409433554326668,1008.2323050665789,41.85974601759319,0,1,1,0,1,1,102,34,8,2,0,0
Wed Feb 18 16:20:35 2026,40.3876171875,44352,19.379807062480772,1008.2312922382495,41.8682124732912,0,1,1,0,1,1,102,34,8,2,0,0
Wed Feb 18 16:20:36 2026,40.4243359375,48256,19.35563931168087,1008.230190124841,41.87742529051128,0,1,1,0,1,1,96,32,8,2,0,0
Wed Feb 18 16:20:37 2026,40.44171875,50632,19.330202007730286,1008.2298371821389,41.880375620737155,0,1,1,0,1,1,96,32,8,2,0,0
Wed Feb 18 16:20:38 2026,40.413984375,53382,19.482604147857025,1008.2240981309978,41.928349802890274,0,1,1,0,1,1,96,32,8,2,0,0
Wed Feb 18 16:20:39 2026,40.41125,55215,19.551614067494604,1008.2160859226633,41.99532625162803,0,1,1,0,1,1,90,30,8,2,0,0
Wed Feb 18 16:20:40 2026,40.3880078125,57701,19.66723694614126,1008.2033501730408,42.101789083438995,0,1,1,0,1,1,90,30,8,2,0,0
Wed Feb 18 16:20:41 2026,40.3270703125,59567,19.705798654155842,1008.1972645029309,42.15266183057243,0,1,1,0,1,1,90,30,8,2,0,0
Wed Feb 18 16:20:42 2026,40.2696484375,60921,19.925913969401915,1008.200443786902,42.126084790515165,0,1,1,0,1,1,96,30,8,2,0,0
Wed Feb 18 16:20:43 2026,40.2466015625,63184,20.30374836796612,1008.1933702460129,42.185215738000714,0,0,0,0,0,0,96,30,8,2,0,0
Wed Feb 18 16:20:44 2026,40.1977734375,64380,20.44493258586914,1008.1997733232504,42.13168948689858,0,0,0,0,0,0,96,30,8,2,0,0
Wed Feb 18 16:20:45 2026,40.1471875,66460,20.843652890894866,1008.2015238102207,42.117056413632035,0,0,0,0,0,0,90,26,4,0,0,0
Wed Feb 18 16:20:46 2026,40.1003125,68361,20.969304023658843,1008.2075051738592,42.06705577832569,0,0,0,0,0,0,90,26,4,0,0,0
Wed Feb 18 16:20:47 2026,40.031171875,69929,21.039687749929687,1008.2165753983693,41.991234565264875,0,0,0,0,0,0,90,26,4,0,0,0
Wed Feb 18 16:20:48 2026,39.951484375,71570,21.120094430129832,1008.2067006262092,42.073781303212954,0,0,0,0,0,0,189,32,4,0,0,0
Wed Feb 18 16:20:49 2026,39.8516796875,73595,21.08614465305136,1008.2140784660982,42.012107249709175,0,0,0,0,0,0,189,32,4,0,0,0
Wed Feb 18 16:20:50 2026,39.7329296875,74714,21.050884510247986,1008.2031078078031,42.10381511447483,0,0,0,0,0,0,189,32,4,0,0,0
Wed Feb 18 16:20:51 2026,39.5846875,76129,21.094149670011113,1008.1976534324117,42.14941059348184,0,0,0,0,0,0,258,34,4,0,0,0
Wed Feb 18 16:20:52 2026,39.4618359375,77599,21.235944870283138,1008.1941439712537,42.178747800225324,0,0,0,0,0,0,258,34,4,0,0,0
